campaign_id,event_time,impressions,clicks,user_consent
1027,2024-03-16,100,0,N
1009,2024-02-06,10,0,Y
1025,2024-01-23,100,50,Y
1004,2024-01-15,,500,Y
1043,2024-03-26,10,500,Y
1079,2024-02-10,10000,5000,N
1018,2024-02-26,100,0,N
1060,2024-03-04,10,1,Y
1061,2024-01-07,1000,50,N
1080,2024-03-01,10000,5,N
1021,2024-01-12,10,50,N
1005,2024-02-25,10000,500,Y
1042,2024-03-09,10,500,
1074,2024-03-09,10,5,Y
1014,2024-03-22,1000,50,Y
1065,2024-01-24,100,1,N
1040,2024-03-01,10000,0,Y
1085,2024-01-10,100,5,
1000,2024-02-24,10000,500,
1057,2024-01-18,10000,50,Y
1068,2024-02-04,100,5,
1052,2024-02-22,100,1,Y
1048,2024-03-13,1000,5,N
1036,2024-03-21,100000,500,N
1065,2024-03-30,100,1,N
1028,2024-01-17,100,5,Y
1023,2024-03-26,10000,500,Y
1018,2024-02-02,1000,500,Y
1065,2024-02-06,100,5,Y
1067,2024-01-07,10000,1,N
1062,2024-02-06,100,50,Y
1025,2024-03-27,10,1,N
1051,2024-01-12,1000,500,Y
1087,2024-03-21,100,500,N
1000,2024-03-20,10,1,N
1051,2024-03-17,10000,0,N
1072,2024-01-08,10000,50,N
1006,2024-02-19,10000,50,Y
1030,2024-02-21,10,50,Y
1001,2024-03-24,10,50,Y
1036,2024-03-30,100,1,Y
1031,2024-02-04,,5,N
1095,2024-01-25,1000,500,Y
1062,2024-01-14,10000,0,Y
1054,2024-02-17,1000,50,Y
1060,2024-02-28,100,5,Y
1042,2024-03-21,100,0,N
1081,2024-01-15,10,50,N
1033,2024-01-24,10000,5,Y
1015,2024-02-05,1000,0,N
1070,2024-03-24,10000,50,Y
1078,2024-03-16,1000,1,N
1099,2024-01-06,10,500,Y
1084,2024-03-27,100,50,Y
1060,2024-02-05,100,0,N
1082,2024-01-06,100,1,Y
1009,2024-01-19,,50,Y
1038,2024-02-07,100,500,Y
1090,2024-03-06,1000,50,N
1085,2024-02-21,100000,500,Y
1014,2024-01-04,10,5,Y
1030,2024-02-02,10000,1,N
1013,2024-02-16,10,50,Y
1038,2024-02-12,100,1,N
1021,2024-02-16,100,0,Y
1032,2024-01-16,,1,Y
1089,2024-03-11,1000,500,N
1012,2024-01-26,10000,50,N
1020,2024-03-22,100,50,N
1041,2024-01-23,10000,5,N
1035,2024-01-22,100,1,N
1084,2024-03-29,1000,50,N
1023,2024-02-27,10000,5,N
1015,2024-01-05,100,5,N
1008,2024-02-18,10,500,N
1068,2024-03-22,100,0,N
1010,2024-01-10,100,0,Y
1061,2024-02-22,100,1,N
1058,2024-03-05,100000,0,N
1035,2024-01-28,100,0,Y
1045,2024-03-24,10000,0,N
1029,2024-03-24,1000,0,
1095,2024-01-22,1000,5,N
1046,2024-01-05,1000,0,N
1063,2024-02-23,10,0,Y
1079,2024-01-25,100,50,Y
1094,2024-02-03,10,500,Y
1030,2024-03-24,10,5,Y
1021,2024-03-14,1000,5,N
1053,2024-01-17,1000,0,N
1032,2024-02-04,100,500,Y
1013,2024-03-19,10000,0,N
1047,2024-03-22,10000,5,Y
1033,2024-01-13,10,5,N
1038,2024-03-10,100,5,Y
1046,2024-02-27,100,500,N
1047,2024-01-29,10,1,N
1088,2024-01-14,,50,Y
1013,2024-01-18,1000,50,Y
1018,2024-03-15,10,50,Y
1038,2024-03-20,,5,N
1009,2024-02-21,100,1,N
1051,2024-02-26,1000,1,N
1000,2024-03-21,10,500,Y
1017,2024-03-05,100,500,Y
1008,2024-03-22,1000,50,N
1076,2024-01-07,100,5,Y
1068,2024-03-10,10000,500,N
1054,2024-02-20,100,5,N
1085,2024-03-06,10,0,
1002,2024-01-15,10000,0,Y
1006,2024-01-27,100000,50,Y
1008,2024-01-20,100000,0,N
1022,2024-01-31,1000,50,Y
1031,2024-02-28,100,5,N
1098,2024-01-23,100,50,N
