city,timestamp,avg_speed_kmph,traffic_volume
London,2024-07-11,5,691
Bangalore,2024-07-07,5,906
Bangalore,2024-07-14,60,1151
London,2024-06-25,30,3889
Bangalore,2024-06-11,30,3207
Berlin,2024-07-11,15,2971
,2024-07-13,60,4227
,2024-07-03,15,1006
NYC,2024-06-23,5,583
Bangalore,2024-07-18,15,1835
Bangalore,2024-07-12,15,379
Berlin,2024-06-15,15,2131
Berlin,2024-07-14,60,642
Berlin,2024-07-25,15,639
London,2024-06-15,5,2124
London,2024-07-15,180,1870
London,2024-06-23,15,86
NYC,2024-07-17,5,1756
Berlin,2024-06-10,15,1389
Bangalore,2024-06-22,30,1266
London,2024-06-10,60,3148
Bangalore,2024-07-21,,4422
London,2024-06-01,5,2283
NYC,2024-06-05,5,4425
,2024-07-16,15,2280
,2024-06-22,5,3204
,2024-06-14,15,1065
Bangalore,2024-07-25,30,480
NYC,2024-07-03,15,2216
Berlin,2024-06-18,60,4384
,2024-07-09,15,2316
Bangalore,2024-07-15,15,3412
London,2024-07-07,15,1613
Berlin,2024-06-25,15,3014
London,2024-07-15,15,4033
Bangalore,2024-06-19,5,3366
Bangalore,2024-07-15,15,4675
NYC,2024-07-03,180,650
,2024-07-25,15,1065
NYC,2024-06-07,5,2583
Bangalore,2024-07-08,30,2881
Berlin,2024-07-25,15,1497
London,2024-07-05,30,525
Bangalore,2024-07-11,30,4529
Bangalore,2024-06-25,60,2140
Bangalore,2024-07-09,5,973
NYC,2024-06-17,5,553
London,2024-06-12,15,106
NYC,2024-07-22,5,1344
NYC,2024-07-20,30,1359
Bangalore,2024-07-03,15,4868
Berlin,2024-06-28,30,3631
Bangalore,2024-07-14,60,1555
,2024-07-20,30,3825
NYC,2024-07-25,15,931
,2024-07-23,30,2015
London,2024-07-21,180,4221
NYC,2024-06-09,15,1147
,2024-07-18,60,537
Bangalore,2024-06-10,60,2146
Berlin,2024-06-13,30,144
London,2024-06-05,15,330
,2024-07-21,60,1818
Bangalore,2024-06-11,15,4953
London,2024-07-24,5,495
London,2024-07-03,5,1929
,2024-06-19,5,2726
,2024-07-11,30,3594
Bangalore,2024-06-30,15,4098
NYC,2024-06-21,15,1338
Bangalore,2024-07-18,15,1288
London,2024-07-11,5,3090
NYC,2024-06-11,15,1559
Bangalore,2024-07-02,30,4067
NYC,2024-06-22,15,3690
Berlin,2024-07-01,5,4227
Bangalore,2024-07-28,15,2406
NYC,2024-06-20,30,2256
,2024-07-20,60,2718
Berlin,2024-07-21,15,702
Bangalore,2024-07-29,5,2352
,2024-07-19,60,4274
NYC,2024-07-22,30,637
,2024-06-12,5,4980
Bangalore,2024-06-30,5,3909
NYC,2024-06-10,60,4247
Bangalore,2024-06-11,15,3485
London,2024-07-10,60,2959
,2024-06-28,180,4452
Bangalore,2024-06-02,15,931
Berlin,2024-07-22,5,3217
,2024-07-16,5,4809
London,2024-06-11,15,1794
Berlin,2024-07-13,30,4093
London,2024-06-27,15,4001
Berlin,2024-06-01,15,3678
London,2024-06-23,180,2511
London,2024-07-10,180,1303
,2024-07-23,5,2733
NYC,2024-07-04,30,1457
Bangalore,2024-07-02,30,1741
,2024-07-26,5,3426
Bangalore,2024-06-27,60,2268
,2024-06-05,15,2572
Bangalore,2024-07-02,5,2314
Berlin,2024-06-26,15,1956
,2024-07-14,15,2811
Berlin,2024-07-26,30,3437
Bangalore,2024-07-09,30,3881
Berlin,2024-07-28,15,4770
Bangalore,2024-07-29,5,4676
Berlin,2024-07-20,15,1660
London,2024-07-12,30,1379
NYC,2024-06-14,30,4736
,2024-06-10,30,3748
Berlin,2024-06-15,15,139
NYC,2024-07-09,30,1643
London,2024-06-03,5,3912
London,2024-07-01,5,3274
Bangalore,2024-06-23,30,2475
Berlin,2024-06-11,5,3903
Bangalore,2024-07-17,60,3953
Berlin,2024-06-18,30,428
,2024-06-16,15,4580
,2024-06-18,15,143
,2024-07-06,60,2855
Bangalore,2024-07-27,30,908
London,2024-07-23,30,977
,2024-06-30,5,3925
NYC,2024-06-10,15,2778
Berlin,2024-07-10,30,4490
,2024-06-17,15,563
NYC,2024-07-08,15,4489
London,2024-06-03,5,1739
London,2024-06-06,5,1197
Bangalore,2024-07-07,15,164
,2024-06-02,60,4141
,2024-06-19,5,690
,2024-07-06,180,2460
,2024-06-23,15,3033
London,2024-06-16,30,4202
Bangalore,2024-07-24,5,4493
Berlin,2024-07-01,60,3526
London,2024-07-15,15,116
London,2024-06-08,30,2662
Bangalore,2024-07-15,180,617
Bangalore,2024-07-13,5,3968
Berlin,2024-07-03,30,2158
Bangalore,2024-07-21,60,4415
Berlin,2024-06-30,30,4588
London,2024-07-08,30,4562
NYC,2024-06-18,15,1936
London,2024-07-20,30,275
NYC,2024-06-08,15,4413
,2024-07-24,5,2067
Bangalore,2024-06-30,5,3146
Berlin,2024-06-30,15,2109
,2024-06-12,15,4859
London,2024-07-03,5,1251
NYC,2024-07-09,5,2999
NYC,2024-06-10,15,3348
NYC,2024-07-01,5,4226
NYC,2024-06-25,60,170
Bangalore,2024-06-03,30,2293
Berlin,2024-06-12,30,4319
Bangalore,2024-07-07,5,801
NYC,2024-07-25,60,402
London,2024-07-07,30,4273
,2024-06-07,5,3597
NYC,2024-07-19,5,2840
Berlin,2024-07-29,30,3613
Berlin,2024-07-11,15,3609
,2024-06-16,15,3305
NYC,2024-06-02,5,3671
NYC,2024-06-07,15,1630
Bangalore,2024-06-09,5,3526
Berlin,2024-07-27,5,2062
Berlin,2024-07-24,5,4749
Bangalore,2024-06-02,15,1202
London,2024-07-29,15,2552
Berlin,2024-07-10,60,690
Bangalore,2024-07-02,180,3547
Berlin,2024-06-28,30,2423
,2024-07-21,15,3630
Bangalore,2024-07-28,5,3870
London,2024-07-07,60,1273
,2024-06-09,30,4136
NYC,2024-07-15,30,1386
NYC,2024-06-30,30,4059
,2024-07-21,30,4232
Bangalore,2024-06-22,15,364
London,2024-06-02,15,461
,2024-07-04,60,4538
Bangalore,2024-06-21,5,1867
NYC,2024-07-23,30,4393
NYC,2024-07-19,60,3323
,2024-06-04,180,4381
London,2024-07-20,5,2410
Berlin,2024-06-13,5,1022
Berlin,2024-07-21,30,687
Berlin,2024-06-10,15,1502
London,2024-07-18,15,687
Berlin,2024-07-09,60,623
,2024-06-27,30,4540
London,2024-07-03,15,783
Bangalore,2024-06-25,15,4352
NYC,2024-06-08,30,3232
Berlin,2024-06-17,5,1186
NYC,2024-07-07,30,3116
Berlin,2024-07-28,5,4443
Berlin,2024-06-14,5,1174
London,2024-06-21,,4609
Bangalore,2024-06-27,5,222
London,2024-06-02,15,932
Berlin,2024-06-05,5,2926
Berlin,2024-07-21,60,4465
,2024-06-20,180,2076
London,2024-07-02,5,3297
London,2024-06-16,60,3160
London,2024-07-13,60,3895
,2024-07-13,15,3938
NYC,2024-06-25,15,4363
London,2024-07-17,60,4153
,2024-06-19,30,882
,2024-07-27,60,841
NYC,2024-07-01,15,1104
,2024-07-12,30,1444
NYC,2024-06-11,5,947
NYC,2024-06-25,60,1005
London,2024-06-04,60,2036
,2024-06-13,30,2778
NYC,2024-06-10,5,4108
Berlin,2024-06-11,5,1631
Bangalore,2024-06-14,30,379
Bangalore,2024-07-02,15,3299
,2024-07-08,15,3923
Berlin,2024-06-26,30,4751
Berlin,2024-07-28,30,2649
London,2024-06-29,15,1508
,2024-06-18,15,3852
,2024-07-14,5,1917
NYC,2024-06-05,30,2824
,2024-06-27,15,4435
Berlin,2024-07-20,15,2672
London,2024-06-13,15,3522
Bangalore,2024-07-27,180,791
Bangalore,2024-07-07,5,4545
Berlin,2024-06-27,5,4911
Berlin,2024-07-29,15,98
,2024-06-08,30,1514
London,2024-06-23,5,274
,2024-07-29,5,3436
London,2024-07-24,5,4816
Bangalore,2024-07-05,60,2814
London,2024-06-11,15,391
NYC,2024-07-09,5,4956
Bangalore,2024-07-08,5,3555
London,2024-06-21,5,3558
Bangalore,2024-07-07,30,3070
London,2024-07-17,15,1686
Berlin,2024-07-17,5,4293
Berlin,2024-07-14,5,2694
Bangalore,2024-07-07,30,3387
,2024-06-28,30,3561
Berlin,2024-06-06,30,1182
,2024-06-24,180,522
NYC,2024-06-16,60,1822
NYC,2024-07-11,15,4743
NYC,2024-07-26,30,1007
Bangalore,2024-06-26,5,4461
Bangalore,2024-06-11,5,3862
Berlin,2024-07-17,30,2666
Berlin,2024-06-21,60,997
Berlin,2024-06-01,60,1492
,2024-07-07,30,3956
,2024-07-25,180,4984
London,2024-07-14,15,778
NYC,2024-07-17,5,4220
Bangalore,2024-07-11,60,3944
London,2024-06-03,5,3312
Berlin,2024-07-28,5,680
,2024-07-30,60,321
NYC,2024-06-22,60,1543
Bangalore,2024-06-11,30,915
,2024-07-27,15,4916
London,2024-06-06,30,2372
Berlin,2024-06-05,30,1413
Bangalore,2024-07-24,60,104
Berlin,2024-06-19,15,4329
Bangalore,2024-06-01,15,2794
London,2024-07-09,15,4096
NYC,2024-06-11,60,4049
,2024-07-10,15,3117
,2024-07-02,5,2050
Berlin,2024-07-03,30,1164
NYC,2024-07-05,60,2241
,2024-07-28,30,1888
Bangalore,2024-06-16,15,3060
,2024-06-28,5,928
Bangalore,2024-07-21,60,4546
Berlin,2024-07-14,15,841
London,2024-06-11,15,4476
London,2024-07-24,15,4360
London,2024-06-09,60,4774
Berlin,2024-06-12,60,3145
Berlin,2024-07-08,180,664
London,2024-06-16,15,2920
NYC,2024-06-25,30,4279
Bangalore,2024-07-05,30,2233
Berlin,2024-07-06,15,2620
Bangalore,2024-06-24,15,2009
Bangalore,2024-06-13,5,2646
Berlin,2024-07-10,30,1928
,2024-07-06,15,2105
NYC,2024-07-11,5,1547
Berlin,2024-07-20,30,4995
NYC,2024-06-24,60,1887
London,2024-06-07,60,2154
London,2024-06-15,15,4786
,2024-06-19,60,1328
NYC,2024-07-12,30,506
,2024-06-27,15,4017
London,2024-06-15,,3483
Berlin,2024-07-03,30,4318
Bangalore,2024-07-06,15,521
London,2024-07-20,60,2103
Berlin,2024-07-29,5,4772
,2024-07-02,30,3645
NYC,2024-06-17,15,1882
Bangalore,2024-06-12,5,4654
NYC,2024-07-28,15,3066
Berlin,2024-06-23,30,3214
Bangalore,2024-07-28,5,2849
NYC,2024-07-01,30,4460
London,2024-06-30,30,4174
London,2024-06-26,30,1244
NYC,2024-07-05,30,1015
,2024-06-27,5,4126
London,2024-07-04,30,1260
NYC,2024-07-21,15,812
,2024-06-16,5,2952
Bangalore,2024-06-26,15,4207
Bangalore,2024-07-11,5,2497
NYC,2024-07-04,30,1429
NYC,2024-07-06,15,3231
NYC,2024-07-22,15,2878
London,2024-07-15,60,2759
Berlin,2024-06-15,15,3690
Berlin,2024-06-26,5,2117
Berlin,2024-06-14,30,4100
Berlin,2024-07-04,180,2999
,2024-06-29,30,4579
Berlin,2024-07-29,15,4911
Bangalore,2024-07-18,180,4101
Berlin,2024-06-16,30,1498
,2024-07-11,5,666
,2024-06-04,5,3926
NYC,2024-06-29,15,4655
NYC,2024-06-11,15,4024
Berlin,2024-07-09,180,347
London,2024-07-01,15,302
London,2024-06-21,5,4959
,2024-06-25,30,2842
,2024-07-23,5,3606
Bangalore,2024-06-01,60,2926
Bangalore,2024-07-17,15,210
