content_id,watch_date,watch_minutes,device_type
2050,2024-05-14,,web
2009,2024-06-17,5,web
2005,2024-04-04,120,mobile
2007,2024-06-17,120,mobile
2075,2024-04-26,30,web
2016,2024-04-12,1,
2089,2024-05-20,30,
2007,2024-04-22,120,tv
2077,2024-05-25,,mobile
2050,2024-03-31,5,tv
2039,2024-06-20,5000,mobile
2034,2024-05-04,1,
2003,2024-05-19,5,web
2025,2024-03-31,5,mobile
2041,2024-06-02,1,web
2033,2024-04-25,5,mobile
2060,2024-03-19,,mobile
2078,2024-06-01,5,mobile
2023,2024-05-05,120,mobile
2046,2024-06-09,120,mobile
2047,2024-06-22,30,
2042,2024-06-22,1,tv
2041,2024-05-13,120,mobile
2086,2024-05-17,,
2006,2024-04-29,5,mobile
2015,2024-03-15,30,mobile
2058,2024-05-10,1,mobile
2077,2024-05-09,30,mobile
2063,2024-06-18,30,mobile
2021,2024-03-10,1,mobile
2064,2024-03-07,5,mobile
2042,2024-04-26,1000,web
2036,2024-04-16,120,
2086,2024-05-06,30,mobile
2010,2024-06-27,5,web
2066,2024-03-25,5,mobile
2075,2024-03-09,,tv
2017,2024-06-21,120,mobile
2043,2024-06-12,5,
2052,2024-03-25,5,
2035,2024-05-05,,mobile
2031,2024-05-12,120,mobile
2083,2024-05-08,1,mobile
2023,2024-03-03,120,
2050,2024-04-11,30,mobile
2056,2024-03-26,30,web
2089,2024-03-31,1,tv
2055,2024-03-21,30,mobile
2055,2024-05-03,30,mobile
2003,2024-03-30,1000,mobile
2040,2024-03-21,30,mobile
2001,2024-03-04,120,
2017,2024-06-19,5,tv
2039,2024-03-19,5,web
2037,2024-04-20,5,mobile
2073,2024-06-04,30,mobile
2046,2024-05-05,30,mobile
2051,2024-06-23,30,web
2075,2024-03-30,1,web
2027,2024-04-09,120,web
2012,2024-04-22,5,web
2082,2024-06-27,120,web
2059,2024-06-18,5,tv
2065,2024-03-29,30,web
2067,2024-05-04,1,web
2010,2024-05-23,30,tv
2056,2024-03-12,120,
2078,2024-05-16,30,tv
2072,2024-03-06,30,tv
2006,2024-05-31,5,tv
2027,2024-03-05,120,mobile
2071,2024-06-01,120,tv
2047,2024-03-09,1,mobile
2044,2024-03-05,1,
2048,2024-03-25,30,mobile
2094,2024-05-19,1,
2041,2024-06-03,120,web
2074,2024-03-09,120,tv
2021,2024-06-28,,tv
2052,2024-05-31,1,tv
2098,2024-04-07,120,web
2006,2024-04-27,1,web
2091,2024-06-14,5,mobile
2062,2024-04-03,30,mobile
2058,2024-04-20,,web
2031,2024-06-25,5,tv
2071,2024-03-10,30,mobile
2093,2024-06-18,120,mobile
2000,2024-06-05,1,
2032,2024-06-04,120,
2068,2024-05-28,30,mobile
2037,2024-05-13,30,mobile
2057,2024-06-02,1000,tv
2065,2024-05-31,120,mobile
2014,2024-05-17,30,
2039,2024-05-06,30,web
2093,2024-06-05,30,tv
2086,2024-04-24,,mobile
2087,2024-06-01,120,mobile
2015,2024-04-06,1,tv
2039,2024-03-16,1,tv
2043,2024-03-15,1,mobile
2030,2024-03-04,1,tv
2013,2024-05-30,1,mobile
2033,2024-03-24,120,tv
2093,2024-05-25,30,mobile
2088,2024-03-31,1,tv
2007,2024-04-01,1,web
2054,2024-04-10,120,tv
