hospital_id,reporting_year,total_discharges,readmissions
224,2022,250.0,0
222,2022,134.0,36
232,2023,250.0,18
229,2024,59.0,164
208,2022,474.0,113
237,2023,317.0,999
224,2022,261.0,66
217,2024,497.0,34
242,2022,433.0,83
206,2023,304.0,25
223,2022,472.0,173
239,2024,402.0,162
220,2023,241.0,21
254,2023,248.0,141
254,2024,306.0,156
234,2022,63.0,185
242,2022,478.0,158
210,2023,454.0,16
201,2024,222.0,150
214,2023,418.0,58
214,2023,,163
204,2024,386.0,88
251,2024,111.0,58
239,2024,94.0,79
215,2022,487.0,129
243,2023,432.0,89
245,2023,418.0,121
220,2022,384.0,11
244,2024,435.0,9
208,2022,446.0,119
206,2023,293.0,1
226,2022,462.0,15
216,2023,205.0,163
201,2022,313.0,105
239,2022,468.0,122
225,2023,329.0,176
244,2023,56.0,35
207,2022,77.0,133
249,2022,139.0,104
244,2022,258.0,100
254,2022,240.0,94
239,2023,279.0,104
215,2024,55.0,129
219,2023,427.0,155
231,2024,425.0,134
231,2023,316.0,20
234,2024,87.0,189
214,2023,499.0,107
241,2024,496.0,168
256,2022,81.0,42
249,2022,331.0,76
231,2024,272.0,135
229,2022,337.0,116
218,2024,212.0,141
223,2024,179.0,76
201,2022,436.0,10
220,2022,210.0,9
241,2023,56.0,156
259,2024,262.0,54
215,2023,481.0,1
239,2024,138.0,0
238,2024,129.0,46
235,2023,456.0,90
257,2022,386.0,82
240,2023,402.0,17
201,2022,408.0,34
215,2022,314.0,120
228,2024,372.0,61
206,2023,225.0,24
254,2023,212.0,106
214,2022,367.0,156
222,2022,457.0,114
254,2024,375.0,79
204,2024,260.0,146
200,2022,297.0,199
251,2024,127.0,116
204,2022,308.0,193
212,2023,55.0,68
225,2024,469.0,97
251,2023,135.0,9
212,2022,358.0,199
231,2024,181.0,107
254,2022,59.0,24
228,2023,273.0,114
217,2024,418.0,26
201,2023,98.0,188
226,2023,476.0,9
249,2022,62.0,163
241,2023,388.0,38
202,2023,415.0,134
252,2023,424.0,14
229,2022,220.0,113
209,2023,295.0,140
208,2022,407.0,32
202,2024,225.0,98
221,2024,267.0,193
237,2022,207.0,103
210,2024,348.0,10
205,2023,208.0,148
204,2023,356.0,150
229,2022,343.0,43
213,2023,196.0,192
201,2024,200.0,69
232,2024,483.0,163
236,2022,223.0,121
207,2024,346.0,189
209,2024,251.0,169
220,2024,128.0,100
218,2022,419.0,196
234,2022,450.0,179
217,2023,485.0,128
206,2024,318.0,157
212,2024,457.0,128
245,2022,385.0,175
249,2024,151.0,141
253,2023,463.0,158
211,2024,158.0,189
239,2022,427.0,86
223,2024,93.0,158
217,2023,424.0,120
237,2023,64.0,134
211,2022,53.0,147
202,2023,297.0,83
224,2024,285.0,158
234,2023,101.0,8
215,2023,251.0,10
248,2022,409.0,5
247,2023,95.0,170
244,2022,108.0,58
256,2024,223.0,109
212,2023,81.0,17
223,2024,198.0,126
211,2024,334.0,28
201,2023,463.0,128
225,2023,170.0,117
245,2022,312.0,43
209,2023,91.0,160
218,2022,304.0,66
254,2023,379.0,37
221,2023,227.0,100
223,2023,135.0,168
225,2023,66.0,15
204,2023,451.0,37
215,2022,287.0,62
236,2023,182.0,89
233,2022,494.0,84
237,2022,472.0,8
227,2023,258.0,154
211,2023,403.0,158
258,2023,245.0,142
244,2022,474.0,156
244,2024,121.0,8
258,2024,75.0,43
220,2022,138.0,100
231,2023,284.0,187
224,2023,88.0,77
213,2022,372.0,38
250,2023,93.0,178
246,2022,409.0,39
252,2023,113.0,62
234,2023,472.0,133
208,2022,233.0,37
256,2024,135.0,159
229,2024,446.0,5
241,2024,437.0,114
228,2023,333.0,53
238,2024,132.0,50
230,2024,308.0,116
213,2024,303.0,97
216,2024,332.0,161
224,2024,238.0,75
245,2024,380.0,136
256,2022,183.0,132
241,2024,353.0,80
236,2023,272.0,113
226,2022,105.0,60
217,2023,78.0,133
228,2024,249.0,177
248,2024,380.0,31
217,2024,169.0,146
203,2023,336.0,115
219,2024,370.0,57
200,2024,120.0,47
244,2024,379.0,108
223,2024,186.0,16
241,2024,112.0,59
259,2024,126.0,137
246,2022,332.0,49
223,2024,67.0,102
255,2022,449.0,37
204,2024,437.0,111
225,2022,215.0,167
217,2023,197.0,130
235,2023,474.0,78
200,2022,235.0,90
209,2024,125.0,30
216,2023,77.0,15
259,2023,93.0,27
257,2024,370.0,172
234,2023,186.0,103
203,2022,411.0,164
243,2024,162.0,170
226,2022,210.0,72
259,2022,294.0,72
210,2024,498.0,155
202,2023,155.0,70
227,2022,58.0,59
210,2023,263.0,63
202,2022,367.0,59
255,2024,374.0,98
235,2024,167.0,35
202,2024,435.0,174
224,2023,255.0,165
211,2022,253.0,192
211,2024,78.0,33
248,2022,257.0,149
255,2022,353.0,93
252,2024,122.0,178
231,2022,356.0,199
239,2022,337.0,44
209,2024,422.0,70
247,2022,457.0,1
218,2024,422.0,185
246,2023,491.0,93
253,2022,453.0,139
242,2024,389.0,99
206,2023,166.0,101
223,2022,292.0,26
238,2024,283.0,97
231,2022,476.0,165
222,2023,421.0,74
249,2022,438.0,147
218,2024,257.0,170
247,2022,196.0,31
253,2022,381.0,150
202,2022,130.0,40
224,2023,147.0,87
224,2023,460.0,1
205,2022,346.0,61
232,2023,429.0,119
232,2023,291.0,52
214,2024,339.0,56
219,2023,70.0,47
242,2023,219.0,133
241,2023,154.0,143
231,2022,116.0,138
223,2022,149.0,108
202,2023,286.0,45
203,2024,301.0,72
243,2023,132.0,56
258,2024,70.0,194
205,2024,253.0,6
258,2023,224.0,51
256,2024,205.0,179
251,2024,240.0,29
218,2024,497.0,54
257,2023,360.0,149
225,2024,61.0,3
247,2023,435.0,4
224,2022,492.0,149
254,2023,335.0,67
224,2022,317.0,103
258,2022,280.0,131
209,2023,216.0,170
237,2022,323.0,108
219,2023,427.0,14
204,2023,298.0,123
241,2024,431.0,143
243,2022,329.0,83
249,2023,189.0,185
234,2023,387.0,32
204,2022,183.0,94
234,2022,313.0,192
202,2022,106.0,24
240,2022,354.0,36
231,2023,192.0,17
235,2022,285.0,24
229,2023,56.0,119
251,2022,270.0,142
248,2024,107.0,195
259,2022,358.0,34
238,2022,458.0,67
228,2023,254.0,169
225,2023,494.0,124
244,2024,273.0,83
224,2024,189.0,11
259,2022,161.0,93
255,2023,74.0,104
211,2022,196.0,149
217,2023,347.0,163
253,2023,296.0,161
257,2023,129.0,152
225,2023,61.0,166
214,2024,237.0,58
204,2023,85.0,177
255,2024,201.0,60
232,2024,338.0,160
240,2022,469.0,134
208,2022,181.0,146
231,2024,483.0,147
212,2024,105.0,132
242,2024,167.0,114
227,2023,419.0,6
222,2023,313.0,147
223,2024,238.0,174
240,2024,57.0,97
230,2024,184.0,134
204,2022,409.0,83
245,2022,458.0,63
258,2023,481.0,65
247,2023,84.0,6
201,2022,128.0,90
246,2023,195.0,14
229,2023,316.0,82
248,2024,271.0,33
204,2024,462.0,65
255,2022,136.0,155
209,2024,304.0,193
246,2023,147.0,10
251,2024,321.0,197
235,2023,55.0,183
235,2022,282.0,150
